Using config: {'content_img_name': 'mona_lisa.jpeg', 'style_img_name': 'picasso_weeping_woman.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 1000.0, 'tv_weight': 1.0, 'init_img': 'random', 'optimizer': 'LBFGS', 'content_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\content_images\\mona_lisa.jpeg', 'style_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\style_images\\picasso_weeping_woman.jpg', 'dump_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\output_images\\mona_lisa styled as picasso_weeping_woman\\100000 1000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 162, total loss=1405739392.0000, content_loss=795749072.2656, style loss=556439312.5000, tv loss=53551024.0000
LBFGS | iteration: 163, total loss=1400006272.0000, content_loss=794482324.2188, style loss=552037312.5000, tv loss=53486744.0000
LBFGS | iteration: 164, total loss=1393617408.0000, content_loss=791772167.9688, style loss=548426750.0000, tv loss=53418504.0000
LBFGS | iteration: 165, total loss=1386343424.0000, content_loss=789794873.0469, style loss=543224937.5000, tv loss=53323544.0000
LBFGS | iteration: 166, total loss=1379339648.0000, content_loss=784687011.7188, style loss=541407062.5000, tv loss=53245572.0000
LBFGS | iteration: 167, total loss=1372762624.0000, content_loss=784223876.9531, style loss=535356250.0000, tv loss=53182464.0000
LBFGS | iteration: 168, total loss=1366835072.0000, content_loss=781417041.0156, style loss=532300687.5000, tv loss=53117328.0000
LBFGS | iteration: 169, total loss=1360324352.0000, content_loss=778982763.6719, style loss=528294250.0000, tv loss=53047252.0000
LBFGS | iteration: 170, total loss=1354465792.0000, content_loss=777704150.3906, style loss=523817250.0000, tv loss=52944448.0000
LBFGS | iteration: 171, total loss=1348941440.0000, content_loss=773757714.8438, style loss=522261656.2500, tv loss=52922124.0000
LBFGS | iteration: 172, total loss=1344149376.0000, content_loss=772695263.6719, style loss=518634375.0000, tv loss=52819880.0000
LBFGS | iteration: 173, total loss=1339112192.0000, content_loss=772234960.9375, style loss=514084593.7500, tv loss=52792640.0000
LBFGS | iteration: 174, total loss=1334081920.0000, content_loss=767991113.2812, style loss=513367281.2500, tv loss=52723640.0000
LBFGS | iteration: 175, total loss=1328868736.0000, content_loss=766584960.9375, style loss=509609093.7500, tv loss=52674632.0000
LBFGS | iteration: 176, total loss=1323504512.0000, content_loss=764087207.0312, style loss=506831781.2500, tv loss=52585464.0000
LBFGS | iteration: 177, total loss=1318122624.0000, content_loss=762777441.4062, style loss=502814343.7500, tv loss=52530864.0000
LBFGS | iteration: 178, total loss=1312871552.0000, content_loss=761104443.3594, style loss=499297750.0000, tv loss=52469432.0000
LBFGS | iteration: 179, total loss=1307822080.0000, content_loss=758611767.5781, style loss=496831000.0000, tv loss=52379232.0000
LBFGS | iteration: 180, total loss=1303307776.0000, content_loss=758145166.0156, style loss=492816500.0000, tv loss=52346164.0000
LBFGS | iteration: 181, total loss=1299166208.0000, content_loss=756041503.9062, style loss=490877468.7500, tv loss=52247308.0000
LBFGS | iteration: 182, total loss=1294114048.0000, content_loss=753101367.1875, style loss=488792718.7500, tv loss=52219840.0000
LBFGS | iteration: 183, total loss=1289601792.0000, content_loss=752906738.2812, style loss=484556625.0000, tv loss=52138328.0000
LBFGS | iteration: 184, total loss=1285258240.0000, content_loss=750115527.3438, style loss=483046718.7500, tv loss=52095944.0000
LBFGS | iteration: 185, total loss=1280949888.0000, content_loss=748756054.6875, style loss=480153593.7500, tv loss=52040304.0000
LBFGS | iteration: 186, total loss=1276290816.0000, content_loss=746124902.3438, style loss=478220031.2500, tv loss=51945864.0000
LBFGS | iteration: 187, total loss=1271940864.0000, content_loss=745053369.1406, style loss=474993906.2500, tv loss=51893536.0000
